# Master klien PT Smart Home Inovasi (di-load generate_seed.py).
# Delimiter '|'. Baris diawali '#' atau kosong = diabaikan.
# Kolom: nama|tipe|alamat|telp|email|notes|lat|lon|maps_url|weight|favs
#   tipe   : developer hotel hospital bank govt mall warehouse factory campus school retail office fnb
#   weight : propensi jumlah proyek (retensi). Makin besar makin sering jadi pemilik proyek.
#   favs   : kategori proyek favorit, dipisah koma (instalasi security monitoring networking maintenance perbaikan upgrade lainnya)
#   maps_url: opsional. Kalau lat/lon kosong, koordinat di-parse dari URL (pola @lat,lon atau q=lat,lon).
# Edit bebas: tambah/hapus baris, tempel URL Google Maps asli (boleh kosongkan lat/lon lalu isi maps_url).
#
# ---- Developer / Properti (retensi tinggi) ----
The Phoenix Hotel Yogyakarta|hotel|Jl. Jend. Sudirman No. 9, Yogyakarta|0274-566617|eng@phoenix-mgallery.com|Hotel heritage MGallery. Upgrade CCTV + perawatan.|-7.7830|110.3680|https://www.google.com/maps?q=-7.7830,110.3680|6|maintenance,upgrade,security
Eastparc Hotel Yogyakarta|hotel|Jl. Laksda Adisucipto Km 6, Sleman|0274-272888|engineering@eastparchotel.com|Hotel bisnis. Smart room + monitoring.|-7.7820|110.4090|https://www.google.com/maps?q=-7.7820,110.4090|6|instalasi,monitoring,maintenance
Sahid Raya Hotel Yogyakarta|hotel|Jl. Babarsari, Depok, Sleman|0274-488888|eng@sahidraya-jogja.com|Hotel & convention. CCTV area publik + maintenance.|-7.7760|110.4140|https://www.google.com/maps?q=-7.7760,110.4140|5|security,maintenance,upgrade
GReen Host Boutique Hotel|hotel|Jl. Prawirotaman, Yogyakarta|0274-379888|eng@greenhost.co.id|Boutique hotel. Smart lighting + CCTV.|-7.8170|110.3690|https://www.google.com/maps?q=-7.8170,110.3690|5|instalasi,security,maintenance
Hotel Santika Premiere|hotel|Jl. Jend. Sudirman No. 19, Yogyakarta|0274-2982020|eng@santika-jogja.com|Hotel bisnis. Smart room + maintenance.|-7.7850|110.3690|https://www.google.com/maps?q=-7.7850,110.3690|6|instalasi,maintenance,security
# ---- Rumah Sakit / Klinik ----
RS PKU Muhammadiyah|hospital|Jl. KH. Ahmad Dahlan No. 20, Yogyakarta|0274-512653|teknik@pkumuh.co.id|RS tipe A. Monitoring suhu OK/farmasi + CCTV gudang obat.|-7.8010|110.3620|https://www.google.com/maps?q=-7.8010,110.3620|12|monitoring,security,maintenance,perbaikan
RSUP Dr. Sardjito|hospital|Jl. Kesehatan No. 1, Sekip, Sleman|0274-587333|ipsrs@sardjito.co.id|RS rujukan nasional. Cold-chain + monitoring ruang steril skala besar.|-7.7690|110.3740|https://www.google.com/maps?q=-7.7690,110.3740|11|monitoring,security,maintenance,upgrade
RS Bethesda|hospital|Jl. Jenderal Sudirman No. 70, Yogyakarta|0274-586688|ipsrs@bethesda.or.id|RS swasta besar. Monitoring cold-chain + access control.|-7.7820|110.3720|https://www.google.com/maps?q=-7.7820,110.3720|10|monitoring,security,maintenance
RS Panti Rapih|hospital|Jl. Cik Di Tiro No. 30, Yogyakarta|0274-514845|teknik@pantirapih.or.id|RS rujukan. Sensor suhu vaksin + CCTV koridor.|-7.7830|110.3760|https://www.google.com/maps?q=-7.7830,110.3760|9|monitoring,security,perbaikan
RS JIH Yogyakarta|hospital|Jl. Ring Road Utara No. 160, Sleman|0274-4463535|ipsrs@rsjih.co.id|RS modern. BMS + monitoring ruang steril.|-7.7560|110.4060|https://www.google.com/maps?q=-7.7560,110.4060|8|monitoring,maintenance,upgrade
RS Hermina Yogya|hospital|Jl. Tentara Pelajar No. 17, Yogyakarta|0274-621873|ipsrs@hermina-jogja.co.id|RS ibu & anak. Monitoring vaksin + CCTV.|-7.7860|110.3580|https://www.google.com/maps?q=-7.7860,110.3580|7|monitoring,security,maintenance
Klinik Pratama Sehat Sentosa|hospital|Jl. Gejayan No. 33, Sleman|0274-563900|admin@sehatsentosa.co.id|Klinik. CCTV + monitoring vaksin.|-7.7740|110.3900|https://www.google.com/maps?q=-7.7740,110.3900|4|monitoring,security
# ---- Bank / Keuangan ----
Bank BPD DIY|bank|Jl. Tentara Pelajar No. 7, Yogyakarta|0274-562811|umum@bpddiy.co.id|Kantor pusat. CCTV + access control 4 lantai.|-7.7880|110.3600|https://www.google.com/maps?q=-7.7880,110.3600|9|security,networking,maintenance
Bank BNI Wilayah Yogyakarta|bank|Jl. Trikora No. 1, Yogyakarta|0274-516555|fasilitas@bni-jogja.co.id|Kanwil. Standardisasi CCTV cabang.|-7.8000|110.3640|https://www.google.com/maps?q=-7.8000,110.3640|8|security,networking,maintenance
Bank Mandiri Area Yogyakarta|bank|Jl. Diponegoro No. 24, Yogyakarta|0274-563444|fac@mandiri-jogja.co.id|Area office. ATM monitoring + CCTV.|-7.7860|110.3640|https://www.google.com/maps?q=-7.7860,110.3640|7|security,monitoring,maintenance
Bank BRI Kanwil Yogyakarta|bank|Jl. Cik Di Tiro No. 3, Yogyakarta|0274-563946|fasilitas@bri-jogja.co.id|Kanwil. CCTV + access control cabang.|-7.7840|110.3760|https://www.google.com/maps?q=-7.7840,110.3760|8|security,networking,maintenance,perbaikan
# ---- Pemerintah ----
Pemkot Yogyakarta - Dishub|govt|Jl. Kenari No. 56, Yogyakarta|0274-515865|dishub@jogjakota.go.id|Smart traffic monitoring persimpangan kota.|-7.8030|110.3820|https://www.google.com/maps?q=-7.8030,110.3820|9|monitoring,networking,security
Pemda DIY - Dinas Kominfo|govt|Kompleks Kepatihan, Danurejan, Yogyakarta|0274-562811|kominfo@jogjaprov.go.id|Jaringan + CCTV kawasan pemerintahan.|-7.7960|110.3680|https://www.google.com/maps?q=-7.7960,110.3680|8|networking,security,monitoring
Dinas Pendidikan Kota Yogyakarta|govt|Jl. AM Sangaji No. 47, Yogyakarta|0274-512956|disdik@jogjakota.go.id|CCTV + jaringan sekolah negeri.|-7.7790|110.3650|https://www.google.com/maps?q=-7.7790,110.3650|6|networking,security
Pemkab Sleman - Setda|govt|Jl. Parasamya, Beran, Tridadi, Sleman|0274-868405|setda@slemankab.go.id|Kantor pemkab. CCTV + jaringan antar dinas.|-7.7160|110.3540|https://www.google.com/maps?q=-7.7160,110.3540|7|networking,security,monitoring
Pemkab Bantul - Setda|govt|Jl. Robert Wolter Monginsidi No. 1, Bantul|0274-367509|setda@bantulkab.go.id|Kantor pemkab. CCTV + jaringan.|-7.8880|110.3290|https://www.google.com/maps?q=-7.8880,110.3290|6|networking,security,maintenance
# ---- Mall / Pusat Perbelanjaan ----
Hartono Mall Yogyakarta|mall|Jl. Ring Road Utara, Maguwoharjo, Sleman|0274-2840888|engineering@hartonomall.com|Mall terbesar. CCTV + people counting + maintenance.|-7.7600|110.4150|https://www.google.com/maps?q=-7.7600,110.4150|10|security,monitoring,maintenance,networking
Lippo Plaza Jogja|mall|Jl. Laksda Adisucipto No. 32, Yogyakarta|0274-2920888|eng@lippoplaza-jogja.com|Mall + RS Siloam. CCTV terpadu.|-7.7830|110.3960|https://www.google.com/maps?q=-7.7830,110.3960|8|security,monitoring,maintenance
Plaza Ambarrukmo|mall|Jl. Laksda Adisucipto, Yogyakarta|0274-4331000|facility@plazaambarrukmo.com|Mall premium. Upgrade NVR + access control.|-7.7820|110.4000|https://www.google.com/maps?q=-7.7820,110.4000|7|security,upgrade,maintenance
Sleman City Hall|mall|Jl. Gito Gati, Denggung, Sleman|0274-869777|eng@slemancityhall.com|Mall keluarga. CCTV + jaringan tenant.|-7.6960|110.3540|https://www.google.com/maps?q=-7.6960,110.3540|6|security,networking,maintenance
Jogja City Mall|mall|Jl. Magelang Km 6, Sleman|0274-2885000|engineering@jogjacitymall.com|Mall sisi utara. CCTV + jaringan tenant.|-7.7480|110.3590|https://www.google.com/maps?q=-7.7480,110.3590|6|security,networking,maintenance
Galeria Mall Yogyakarta|mall|Jl. Jend. Sudirman No. 99-101, Yogyakarta|0274-566778|eng@galeriamall.co.id|Mall pusat kota. Upgrade CCTV + maintenance.|-7.7830|110.3730|https://www.google.com/maps?q=-7.7830,110.3730|6|security,upgrade,maintenance,perbaikan
# ---- Gudang / Logistik / Pabrik ----
PT Logistik Nusantara|warehouse|Jl. Ring Road Utara No. 88, Yogyakarta|0274-885012|ops@logistiknusantara.co.id|Logistik nasional. Monitoring gudang 24/7 + CCTV.|-7.7520|110.4090|https://www.google.com/maps?q=-7.7520,110.4090|9|monitoring,security,networking,perbaikan
PT Sari Husada (Danone)|factory|Jl. Kusumanegara No. 173, Yogyakarta|0274-512990|fac@sarihusada.co.id|Pabrik nutrisi. Cold-chain monitoring + akses pabrik.|-7.8010|110.3920|https://www.google.com/maps?q=-7.8010,110.3920|8|monitoring,maintenance,security
PT Madubaru (Madukismo)|factory|Jl. Padokan, Tirtonirmolo, Bantul|0274-377049|teknik@madubaru.co.id|Pabrik gula. Monitoring suhu + CCTV area produksi.|-7.8280|110.3380|https://www.google.com/maps?q=-7.8280,110.3380|7|monitoring,security,maintenance,perbaikan
PT Yogya Presisi Tehnikatama|factory|Jl. Wates Km 9, Sedayu, Bantul|0274-798200|purchasing@ypti.co.id|Manufaktur presisi. Jaringan pabrik + monitoring mesin.|-7.8120|110.2880|https://www.google.com/maps?q=-7.8120,110.2880|6|networking,monitoring,maintenance
PT Samitex Sewon|factory|Jl. Bantul Km 5, Sewon, Bantul|0274-374123|ga@samitex.co.id|Pabrik tekstil. CCTV + monitoring gudang bahan.|-7.8460|110.3520|https://www.google.com/maps?q=-7.8460,110.3520|6|security,monitoring,perbaikan
PT Ekspedisi Cepat Jogja|warehouse|Jl. Wates Km 5, Yogyakarta|0274-620111|ops@ekspedisicepat.co.id|Hub kurir. Monitoring + CCTV sortir.|-7.8090|110.3300|https://www.google.com/maps?q=-7.8090,110.3300|6|monitoring,security,networking
CV Berkah Tani Sejahtera|factory|Jl. Godean Km 7, Sleman|0274-798800|admin@berkahtani.co.id|Cold storage hasil tani. Monitoring suhu gudang.|-7.7700|110.3100|https://www.google.com/maps?q=-7.7700,110.3100|5|monitoring,maintenance,perbaikan
# ---- Kampus / Sekolah ----
Universitas Teknologi Yogyakarta|campus|Jl. Ringroad Utara, Jombor, Sleman|0274-623310|bauk@uty.ac.id|Kampus. CCTV + jaringan gedung kuliah.|-7.7470|110.3690|https://www.google.com/maps?q=-7.7470,110.3690|7|networking,security,instalasi
Universitas Amikom Yogyakarta|campus|Jl. Ring Road Utara, Condongcatur, Sleman|0274-884201|fasilitas@amikom.ac.id|Kampus IT. Upgrade jaringan + CCTV lab.|-7.7600|110.4060|https://www.google.com/maps?q=-7.7600,110.4060|6|networking,upgrade,security
Universitas Negeri Yogyakarta|campus|Jl. Colombo No. 1, Karangmalang, Sleman|0274-586168|humas@uny.ac.id|Kampus besar. CCTV kawasan + jaringan fakultas.|-7.7740|110.3870|https://www.google.com/maps?q=-7.7740,110.3870|7|networking,security,maintenance
Universitas Sanata Dharma|campus|Jl. Affandi, Mrican, Sleman|0274-513301|humas@usd.ac.id|Kampus. Jaringan + CCTV gedung.|-7.7820|110.3920|https://www.google.com/maps?q=-7.7820,110.3920|5|networking,security
SMA Negeri 3 Yogyakarta|school|Jl. Yos Sudarso No. 7, Yogyakarta|0274-512856|tu@sman3-yog.sch.id|Sekolah favorit. CCTV + jaringan ruang kelas.|-7.7830|110.3720|https://www.google.com/maps?q=-7.7830,110.3720|4|security,networking
SMK Negeri 2 Depok Sleman|school|Mrican, Caturtunggal, Depok, Sleman|0274-513515|humas@smkn2depoksleman.sch.id|SMK teknik. Jaringan lab + CCTV.|-7.7770|110.3950|https://www.google.com/maps?q=-7.7770,110.3950|4|networking,security,instalasi
# ---- Retail / F&B / Kantor ----
Pamela Supermarket Group|retail|Jl. Kusumanegara No. 135, Yogyakarta|0274-563321|it@pamela-swalayan.co.id|Jaringan toko. CCTV + monitoring chiller multi-cabang.|-7.8000|110.3880|https://www.google.com/maps?q=-7.8000,110.3880|8|security,monitoring,maintenance,networking
Mirota Kampus|retail|Jl. C Simanjuntak No. 70, Yogyakarta|0274-555000|fac@mirotakampus.com|Retail. CCTV + access gudang.|-7.7780|110.3760|https://www.google.com/maps?q=-7.7780,110.3760|6|security,monitoring,perbaikan
Indogrosir Yogyakarta|retail|Jl. Magelang Km 6, Sleman|0274-621900|fac@indogrosir-jogja.co.id|Grosir. CCTV + monitoring gudang.|-7.7490|110.3600|https://www.google.com/maps?q=-7.7490,110.3600|6|security,monitoring,networking
Pasar Modern Sleman|retail|Jl. Magelang Km 10, Sleman|0274-868400|pengelola@pasarmodernsleman.id|Pasar modern. CCTV + jaringan kios.|-7.7330|110.3610|https://www.google.com/maps?q=-7.7330,110.3610|4|security,networking
Pondok Indah Catering & Resto|fnb|Jl. Kaliurang Km 5.5, Sleman|0274-885533|owner@pondokindahresto.com|Jaringan resto + CCTV dapur dan kasir.|-7.7610|110.3880|https://www.google.com/maps?q=-7.7610,110.3880|4|security,networking,maintenance
Co-working Antologi Collaborative|office|Jl. Suroto No. 16, Kotabaru, Yogyakarta|0274-557788|ops@antologi.co|Co-working. Jaringan + CCTV.|-7.7850|110.3720|https://www.google.com/maps?q=-7.7850,110.3720|4|networking,security
PT Asuransi Jiwa Sembada|office|Jl. Magelang Km 4, Yogyakarta|0274-621500|ga@sembada-insurance.co.id|Kantor cabang. CCTV + access control.|-7.7720|110.3620|https://www.google.com/maps?q=-7.7720,110.3620|5|security,networking,maintenance
Yayasan Panti Asuhan Bina Putra|office|Jl. Imogiri Timur Km 7, Bantul|0274-440090|sekretariat@binaputra.or.id|Yayasan. CCTV keamanan kompleks.|-7.8550|110.3920|https://www.google.com/maps?q=-7.8550,110.3920|3|security,instalasi
Gereja & Kompleks Ganjuran|office|Sumbermulyo, Bambanglipuro, Bantul|0274-368055|sekretariat@ganjuran.org|Kompleks ziarah. CCTV kawasan + jaringan.|-7.9300|110.3050|https://www.google.com/maps?q=-7.9300,110.3050|3|security,networking
